abandon			[포기하다]
difficulty  [곤란, 어려움, 곤경]	
digestion [소화], [동화력]
digital [디지털 방식의]	
dim [어스레한, 흐릿한]	
dining [식사, 정찬]	
direct  [지시하다], [직접적인], 가리키다, 똑바른	
directly  [곧장]	                 
director [지도자, 관리자]
disagree [일치하지 않다, 의견이 다르다.]
disagreement[불일치]
disappointed [실망한]
disaster [재앙]	
discard [버리다]	
discipline [훈련시키다]	
discount [할인]	
discourage  [낙심시키다]		
discovery [발견]	        
discover [발견하다]
discuss [토론하다]	
disc, disk [원반, 원반모양이 물건]	
disease [병, 질병]	
disgrace [불명예, 망신]	
dishonesty [부정직, 불성실]
dismay [당황, 놀람]	
display [전시하다], [전시, 진열]
disposable [사용하고 버리는, 일회용(의)]
dissatisfied [be dissatisfied with, -에 불만을 갖다]	
distance  [거리]
distinguish [구별하다, 식별하다]
distribute  [분배하다, 분류하다]   
distribution [분배, 분류]
disturb [방해하다]
divide [나누다]
document [증거, 서류], [증거서류를 제출하다]
donation [기부, 기증]
doomed [be doomed to 부정사 -하도록 운명이 정해져 있다]
doubly [두 배로, 2중으로]
doubt [의심(하다)]	
down [turn down, 거절하다], [write down, 적어놓다]
drastic [격렬한]		
draw [그리다]	
dream [꿈, 꿈꾸다]
dress [옷을 입히다]
dribble 	[공을 드리블하다] [똑똑 떨어뜨리다]
drift [표류, 유입, 이동]	
drive  [몰아대다], [운전하다]	
driving [추진, 몰이], [운전]
drop [떨어지다]	
drown 익사시키다	
drunk  [주정뱅이]	
drunken [술취한]	
dry [마른, 건조한], [재미없는]
due [지불기일이 된] [~하기도 되어 있는 = be due to부정사] 
dull [무딘, 둔한, 활기 없는]
dust [먼지]	
duty [의무]
each [each other], [각각(의), 각자(의)]
earn [벌다]              
earrings [소득, 수입]
ease [진정시키다, 완화시키다]    
easily [쉽게]
echo [메아리] [반향하다]
economic [경제의]               
economically [경제적으로]
economy  [경제]
ecosystem [생태계]
edge [가장자리, 끝]
editor [편집자]
education  [교육]	         
educational [교육의]	
educator [교육자]
effect [효과], [결과]            
effective [유효한, 효과적인]
effectively [효과적으로]
efficient [효과가 있는] [유능한]
effort  [노력]		
elbow [팔꿈치]
election [선거, 선출]
electronic  [전자의]         
electronics [전자공학, 전자제품]	
elegance [우아]		
element [요소]
elsewhere [어떤 다른 곳에]	
embarrass [당황하게 하다]	
emotion [정서, 감정]	
emotional [감정적인]       
emotionally [감정적으로]	
emphasize [강조하다] 	
employer [고용주]             
employment [고용]	 
encourage  [격려하다, 고무하다] 
endless [끝이 없는]
enemy  [적]	
engaged [be engaged in, -에 종사하다]	
enhance [높이다]	
